anomalyID, srcIP, srcPort, dstIP, dstPort, taxonomy, heuristic, distance, nbDetectors, label
0,89.199.109.252,,,,mptmp,-0.20327,3,suspicious
0,1.181.171.40,52612,,2375,mptmp,-0.20327,3,suspicious
1,202.247.171.172,,,443,ptmp,-0.28608,4,suspicious
2,122.223.204.7,,202.254.226.113,22,heavy_hitter,-0.225,4,suspicious
2,122.223.204.7,,202.254.226.113,8728,heavy_hitter,-0.225,4,suspicious
2,122.223.204.7,,202.254.226.113,8291,heavy_hitter,-0.225,4,suspicious
3,,,92.59.213.72,44944,mptmp,-0.225,4,suspicious
3,,50802,103.97.109.203,45212,mptmp,-0.225,4,suspicious
4,101.80.146.254,,,445,ntscSYN139445,-0.23406,3,suspicious
5,36.238.23.158,,,1433,ptmp,-0.23406,3,suspicious
6,193.102.77.97,,,5555,ntscSYN,-0.38123,2,suspicious
7,119.112.83.229,,,5555,ntscSYN,-0.23406,3,suspicious
8,111.29.137.131,,,5555,ntscSYN,-0.38123,2,suspicious
9,186.91.75.145,,,5555,ntscSYN,-0.23406,3,suspicious
10,118.172.109.138,,,1433,ntscSYN,-0.23406,3,suspicious
11,125.116.101.11,,,5555,ntscSYN,-0.38123,2,suspicious
12,107.99.8.25,,,5555,ntscSYN,-0.38123,2,suspicious
13,191.211.11.254,,,5555,ntscSYN,-0.38123,2,suspicious
14,178.35.30.254,,,5555,ntscSYN,-0.23406,3,suspicious
15,117.77.82.162,,,445,ntscSYN139445,-0.38123,2,suspicious
16,218.231.86.201,,,5555,ntscSYN,-0.23406,3,suspicious
17,220.134.78.73,,,5555,ntscSYN,-0.23406,3,suspicious
18,199.153.221.77,,,5555,ntscSYN,-0.38123,2,suspicious
19,59.201.232.67,,,1433,ntscSYN,-0.23406,3,suspicious
20,79.251.45.64,,,5555,ntscSYN,-0.38123,2,suspicious
21,223.175.166.70,,,1433,ntscSYN,-0.23406,3,suspicious
22,73.59.219.253,,,5555,ntscSYN,-0.23406,3,suspicious
23,5.50.226.23,,,445,ntscSYN139445,-0.23406,3,suspicious
24,112.71.219.200,,,5555,ntscSYN,-0.38123,2,suspicious
25,122.213.77.174,,,445,ntscSYN139445,-0.23406,3,suspicious
26,103.249.133.150,,,5555,ntscSYN,-0.23406,3,suspicious
27,109.105.154.237,,,5555,ntscSYN,-0.38123,2,suspicious
28,175.125.11.196,,,5555,ntscSYN,-0.23406,3,suspicious
29,117.214.69.194,,,1433,ntscSYN,-0.38123,2,suspicious
30,173.159.152.86,,,5555,ntscSYN,-0.23406,3,suspicious
31,193.218.148.137,,,445,sntscSYN,-0.38123,2,suspicious
32,124.179.53.147,,,1433,ntscSYN,-0.23406,3,suspicious
33,161.7.27.177,,,8291,ntscSYN,-0.23406,3,suspicious
33,161.7.27.177,,,22,ntscSYN,-0.23406,3,suspicious
33,161.7.27.177,,,8728,ntscSYN,-0.23406,3,suspicious
34,218.150.213.136,,,5555,ntscSYN,-0.23406,3,suspicious
35,185.118.212.153,,,1433,ntscSYN,-0.23406,3,suspicious
36,170.85.10.176,,,5555,ntscSYN,-0.23406,3,suspicious
37,66.76.56.140,,,5555,ntscSYN,-0.23406,3,suspicious
38,222.100.71.151,,,1433,ntscSYN,-0.23406,3,suspicious
39,117.29.180.142,,,5555,ntscSYN,-0.23406,3,suspicious
40,190.159.46.188,,,5555,ntscSYN,-0.23406,3,suspicious
41,112.182.176.242,,,5555,ntscSYN,-0.23406,3,suspicious
42,84.53.224.213,,,5555,ntscSYN,-0.23406,3,suspicious
43,221.213.176.213,,,1433,ntscSYN,-0.23406,3,suspicious
44,31.160.143.15,,,5555,ntscSYN,-0.23406,3,suspicious
45,59.181.153.215,,,6379,ntscSYN,-0.1027,4,suspicious
46,210.229.215.44,,,5555,ntscSYN,-0.23406,3,suspicious
47,82.90.75.21,,,5555,ntscSYN,-0.23406,3,suspicious
48,201.223.26.34,,,5555,ntscSYN,-0.29558,4,suspicious
49,171.24.246.235,,,1433,sntscSYN,-0.29558,4,suspicious
50,60.241.195.24,,,5555,ntscSYN,-0.38123,2,suspicious
51,112.122.18.241,,,445,sntscSYN,-0.23406,3,suspicious
52,185.38.194.240,,,5351,ntscUDPOther,-0.23406,3,suspicious
53,119.66.173.9,,,1433,ntscSYN,-0.23406,3,suspicious
54,111.234.225.8,,,5555,ntscSYN,-0.23406,3,suspicious
55,,1433,116.11.163.166,,mptp,-0.23406,3,suspicious
56,202.247.171.54,,52.190.230.253,,ptmp,-0.29558,4,suspicious
56,202.247.171.54,,,3478,ptmp,-0.29558,4,suspicious
57,91.98.132.17,,,1433,ntscSYN139445,-0.23406,3,suspicious
57,91.98.132.17,,,445,ntscSYN139445,-0.23406,3,suspicious
58,117.29.182.116,,,5555,ntscSYN,-0.23406,3,suspicious
59,134.157.202.191,,,5555,ntscSYN,-0.23406,3,suspicious
60,116.11.163.166,,,1433,ptmp,-0.23406,3,suspicious
61,211.84.204.90,,,5555,ntscSYN,-0.23406,3,suspicious
62,50.43.79.197,,,1433,ntscSYN139445,-0.23406,3,suspicious
62,50.43.79.197,,,445,ntscSYN139445,-0.23406,3,suspicious
63,219.133.181.138,,,445,ntscSYN139445,-0.23406,3,suspicious
63,219.133.181.138,,,1433,ntscSYN139445,-0.23406,3,suspicious
64,1.53.88.13,,,1433,ntscSYN,-0.23406,3,suspicious
65,177.94.74.229,,,5555,ntscSYN,-0.23406,3,suspicious
66,24.153.232.42,,,5555,ntscSYN,-0.23406,3,suspicious
67,81.9.152.158,,,5555,ntscSYN,-0.23406,3,suspicious
68,218.127.198.120,,,445,ntscSYN139445,-0.23406,3,suspicious
69,59.203.154.98,,,1433,ntscSYN,-0.23406,3,suspicious
70,164.187.251.89,,,445,sntscSYN,-0.23406,3,suspicious
71,117.74.170.202,,,445,ntscSYN139445,-0.23406,3,suspicious
72,1.45.218.60,,,5555,ntscSYN,-0.23406,3,suspicious
73,211.82.40.250,,,5555,ntscSYN,-0.23406,3,suspicious
74,185.38.194.241,,,5351,ntscUDPOther,-0.23406,3,suspicious
75,185.38.194.244,,,5351,ntscUDPOther,-0.23406,3,suspicious
76,,22211,104.124.167.4,,mptp,-0.23406,3,suspicious
77,165.20.215.85,52528,,8522,ntscSYN,-0.28919,1,suspicious
78,74.175.15.149,,,,ptmp,-0.43158,3,suspicious
79,,,163.170.94.151,,mptmp,-0.1027,4,suspicious
79,39.174.245.121,21,,21,mptmp,-0.1027,4,suspicious
80,103.58.136.198,,,22,ntscSYN,-0.28608,4,suspicious
80,103.58.136.198,,,8728,ntscSYN,-0.28608,4,suspicious
80,103.58.136.198,,,8291,ntscSYN,-0.28608,4,suspicious
81,107.77.24.155,,,15745,ptmp,-0.23406,3,suspicious
82,,15745,107.77.24.155,,mptmp,-0.29558,4,suspicious
82,,28492,89.199.109.250,,mptmp,-0.29558,4,suspicious
83,45.117.76.1,,203.93.165.227,,mptmp,-0.1179,5,suspicious
83,45.117.76.1,,203.93.165.246,,mptmp,-0.1179,5,suspicious
83,45.117.76.1,,,22,mptmp,-0.1179,5,suspicious
83,,,203.93.165.227,22,mptmp,-0.1179,5,suspicious
83,,,203.93.165.246,22,mptmp,-0.1179,5,suspicious
84,47.103.15.225,,,6379,ntscSYN,-0.00588,6,suspicious
84,45.198.67.25,56939,,22,ntscSYN,-0.00588,6,suspicious
85,,53,163.170.212.27,,ntscUDPUDPrp,-0.450027,2,suspicious
85,,53,163.170.213.97,,ntscUDPUDPrp,-0.450027,2,suspicious
86,203.93.174.164,,,443,mptmp,-0.43158,3,suspicious
86,,,54.167.24.215,443,mptmp,-0.43158,3,suspicious
87,,,59.223.53.16,,ntscICecrqICecrprp,-0.450027,2,suspicious
88,106.241.4.28,,,6379,ntscSYN,-0.23406,3,suspicious
89,,,74.175.15.166,,mptmp,-0.28318,3,suspicious
89,,3306,104.29.248.73,,mptmp,-0.28318,3,suspicious
90,202.254.241.155,,,,ttl_error,-0.28318,3,suspicious
90,203.93.163.55,,,,ttl_error,-0.28318,3,suspicious
91,,,94.175.105.172,,mptp,-0.28608,4,suspicious
92,91.147.243.218,,,1900,ntscUDPOther,-0.23406,3,suspicious
93,8.124.30.47,,,6379,sntscSYN,-0.23406,3,suspicious
